ID_BAT;CODE_INSEE;CODE_POSTALE;NOM_COM;NOM_BATI;ADRESSE;X;Y;SURFACE;RENOVATION;TYPE
3501501;35015;35256;Saint-Sulpice-la-Forêt;mairie;3 Rue l'Abbaye;48.2184702617377; -1.5787679270171489;386;Bâtiment à rénover ;Administratif 
3501502;35015;35256;Saint-Sulpice-la-Forêt;Groupe scolaire;5 Rte de Saint-Denis;48.217480218954286; -1.5783204066516867;1252;Bâtiment à rénover ;Scolaire – enfance 
3501503;35015;35256;Saint-Sulpice-la-Forêt;Salle polyvalente;Place renee-mathieu cuisnier;48.217698850641575; -1.580506364533533;469;Bâtiment à rénover ;Socio-culturel 
3501504;35015;35256;Saint-Sulpice-la-Forêt;Services techniques;la tronchay;48.211868339526106; -1.5908466561431158;487;Bâtiment à rénover ;Technique
3501505;35015;35256;Saint-Sulpice-la-Forêt;SALLE DES SPORTS;rue naise;48.21396057449625; -1.5882467944709215;1227;Bâtiment < 20 ans ;Sportif 
3500301;35003;35250;ANDOUILLE-NEUVILLE;GROUPE SCOLAIRE;3 RUE DE NEUVILLE;48.295199567936756; -1.5897082511086555;1075;Bâtiment < 20 ans ;Scolaire – enfance 
3500302;35003;35250;ANDOUILLE-NEUVILLE;MAIRIE ET SALLE DES FÊTES;1 PLACE DES CROISETTES;48.293397827357815; -1.5908073004665673;352;Bâtiment rénové;Administratif 
3500303;35003;35250;ANDOUILLE-NEUVILLE;CENTRE DE LOISIRS;3 RUE DE LA VALLEE;48.296445152181946; -1.58865418072127;402;Bâtiment à rénover ;Scolaire – enfance 
3500304;35003;35250;ANDOUILLE-NEUVILLE;BIBLIOTHEQUE;3 RUE DE LA VALLEE;48.296361938717396; -1.5887584147861873;95;Bâtiment à rénover ;Socio-culturel 
3502401;35024;35830;Betton;EHPAD (Résidence de l'Ille);16 Av. de Moretonhampstead;48.17997142312934; -1.6502238704970023;1822;Bâtiment à rénover ;Médico-social 
3502402;35024;35830;Betton;Centre Administratif (mairie);Pl. Charles de Gaulle;48.18239505801101; -1.640376528963444;3436;Bâtiment rénové;Administratif 
3502403;35024;35830;Betton;Groupe Scolaire Les Mézières;61 Av. d'Armorique;48.184610874359784; -1.6488062021766028;1680;Bâtiment à rénover ;Scolaire – enfance 
3502404;35024;35830;Betton;Cuisine centrale et Centre Technique Municipal;La Renaudais;48.18289764497525; -1.6604557066848313;2073;Bâtiment < 20 ans ;Technique
3502405;35024;35830;Betton;Complexe sportif des Omblais;Av. de Moretonhampstead;48.178141778703335; -1.6479212990020513;6828;Bâtiment rénové;Sportif 
3502406;35024;35830;Betton;Complexe sportif La Touche;16 Rue de la Côté d'Émeraude;48.18761372401715; -1.6463390999936902;3112;Bâtiment < 20 ans ;Sportif 
